appname,fancyname,company,purchases,ads,sharesinfo,shareslocation,unrestrictedinternet,usersinteract,game,age_rating,Parentalguidance,Downloads,categorygame,low_price_item,top_price_item,price,paidapp,rating,numberreviews,cleaned_numberReviews,Released,Last Updated,CompanyIsExperienced
com.stainlessgames.carmageddon,Carmageddon,handygames,1.0,1.0,0.0,0.0,0.0,0.0,1,18+,0.0,1000000.0,action,0.99,0.99,free,0.0,4.7,"83,185",83185,"May 9, 2013","Aug 15, 2017",True
com.bigframes.color_road,Color Road,voodoo,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,arcade,0.99,4.99,free,0.0,4.0,"207,661",207661,"Apr 13, 2018","Apr 28, 2020",True
com.king.candycrushsaga,Candy Crush Saga,king,1.0,0.0,1.0,0.0,0.0,1.0,1,everyone,0.0,500000000.0,casual,0.89,169.99,free,0.0,4.6,"26,231,459",26231459,"Nov 15, 2012","Nov 13, 2020",True
com.intermedia.hq,HQ - Trivia & Words,intermedia labs,1.0,0.0,0.0,0.0,0.0,1.0,1,everyone,0.0,5000000.0,trivia,5.49,104.99,free,0.0,3.3,"29,057",29057,"Feb 21, 2018","Aug 06, 2020",False
com.bitmango.go.blockhexapuzzle,Block! Hexa Puzzle?,bitmango,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,50000000.0,puzzle,0.99,9.99,free,0.0,4.4,"509,846",509846,"Apr 25, 2016","Nov 09, 2020",True
com.rummikubfree,Rummikub,kinkajoo,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,board,3.49,109.99,free,0.0,4.4,"36,681",36681,"Oct 3, 2017","Nov 22, 2020",False
com.leodesol.games.classic.maze.labyrinth,Mazes & More,leo de sol games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,50000000.0,puzzle,0.99,41.99,free,0.0,4.3,"475,042",475042,"Jun 3, 2016","Oct 21, 2020",True
com.knowledgequizgames.justriddles,Riddles - Just 500 Riddles,tla quiz n button,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,trivia,,,free,0.0,4.4,"34,519",34519,"Sep 20, 2017","Jun 02, 2020",False
com.pandoragames.finddifference3,Find the Differences 500 levels,pandoragames,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,puzzle,,,free,0.0,4.5,"352,832",352832,"Jan 13, 2018","Mar 01, 2020",False
game.puzzle.blockpuzzle,Block Puzzle,fast fun,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,puzzle,,,free,0.0,4.5,"191,429",191429,"Jan 4, 2017","Aug 12, 2020",True
com.cardgame.solitaire.full,Solitaire: Super Challenges,queens solitaire games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,card,1.09,3.29,free,0.0,4.6,"97,153",97153,"Jul 1, 2016","Nov 02, 2020",True
com.asmolgam.states,"50 US States Map, Capitals & Flags - American Quiz",andrey solovyev,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,500000.0,trivia,,,free,0.0,4.5,"3,789",3789,"Sep 2, 2014","Sep 03, 2020",True
com.chessking.android.learn.beginnerstoclub,Learn Chess: From Beginner to Club Player,chess king,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,educational,7.99,7.99,free,0.0,4.3,"9,225",9225,"Apr 24, 2015","Jan 30, 2020",True
com.spilgames.OperateNow2,Operate Now: Hospital,spil games,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,10000000.0,simulation,0.99,49.99,no info available,0.0,4.1,"427,602",427602,"May 3, 2017","Nov 10, 2020",True
com.applabs.puzzle,Math Puzzles,applabs,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,,,free,0.0,4.2,"19,47",1947,"Feb 28, 2016","Nov 20, 2019",False
com.qbis.guessthecountry,World Map Quiz,qbis studio,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,trivia,1.19,4.99,free,0.0,4.4,"20,256",20256,"Jul 22, 2015","Nov 24, 2020",False
com.miniclip.agar.io,Agar.io,miniclip.com,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,action,0.99,99.99,free,0.0,4.1,"3,930,189",3930189,"Jul 8, 2015","Nov 13, 2020",True
com.spilgames.UphillRush,Uphill Rush Water Park Racing,spil games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,50000000.0,racing,0.89,89.99,free,0.0,4.1,"593,08",59308,"Jan 25, 2017","Nov 24, 2020",True
com.zeptolab.ctr2.f2p.google,Cut the Rope 2,zeptolab,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,puzzle,0.89,44.49,free,0.0,4.6,"2,245,139",2245139,"Mar 28, 2014","Nov 02, 2020",True
com.word.puzzle.prince.link,Word Game - Addictive Puzzle & Merge Fun,worzzle team,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,word,1.09,54.99,free,0.0,4.5,"2,475",2475,"Mar 12, 2018","Sep 30, 2018",True
com.microsoft.microsoftsolitairecollection,Microsoft Solitaire Collection,microsoft corporation,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,card,1.09,10.99,free,0.0,4.5,"110,375",110375,"Nov 22, 2016","Jul 21, 2020",True
com.youmusic.magictiles,Magic Tiles 3,amanotes,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,music,0.79,20.99,free,0.0,4.2,"1,135,889",1135889,"Feb 24, 2017","Nov 26, 2020",True
com.kiloo.subwaysurf,Subway Surfers,kiloo,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000000.0,arcade,1.09,109.99,free,0.0,4.5,"31,093,927",31093927,"Sep 20, 2012","Nov 18, 2020",False
com.mochibits.google.leftvsright,Left vs Right: Brain Games for Brain Training,mochibits,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,educational,1.09,54.99,no info available,0.0,4.6,"87,736",87736,"Jul 20, 2015","Nov 06, 2020",True
com.quarterborrowresult.customer,Puzzle Game,mahjong solitaire mahjongg,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,strategy,,,free,0.0,4.3,"210,917",210917,"Sep 21, 2016","Nov 24, 2020",False
com.alegrium.cong2,"Cash, Inc. Money Clicker Game & Business Adventure",lion studios,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,10000000.0,simulation,0.89,54.99,free,0.0,4.7,"1,080,141",1080141,"Oct 26, 2017","Nov 27, 2020",True
