purchases,ads,sharesinfo,shareslocation,usersinteract,age_rating,Parentalguidance,paidapp,Category2,Editors Choice,CompanyIsExperienced,Install per Avg,Rating3,install_scaled,rating_scaled,predictor
1,1,0,0,1,12+,0,0,Simulation,0,0,5.49,4.2,1.71539866,0.117151715,0.200961894
1,1,0,0,0,everyone,0,0,Arcade,0,0,7.79,4.6,2.594109043,1.21244748,3.145220972
1,1,0,0,0,everyone,0,0,Role Playing,1,1,7.19,4.2,2.364880247,0.117151715,0.277049776
1,1,0,0,0,everyone,0,0,Racing,0,1,6.09,4.2,1.944627455,0.117151715,0.22781644
0,1,0,0,0,everyone,0,0,Puzzle,0,0,0.7,4.6,-0.114611225,1.21244748,-0.138960091
1,1,0,0,0,everyone,0,0,Puzzle,0,1,5.15,4.4,1.585502342,0.664799597,1.054041319
0,1,0,0,0,everyone,0,0,Sports,0,1,0.28,4.4,-0.275071382,0.664799597,-0.182867344
1,1,0,0,0,12+,0,0,Sports,0,1,7.11,4.4,2.334316408,0.664799597,1.551852608
1,1,0,0,0,7+,0,0,Board,0,1,0.74,4.3,-0.099329305,0.390975656,-0.03883534
1,1,0,0,0,everyone,0,0,Puzzle,0,1,0.35,4.5,-0.248328023,0.938623539,-0.233086527
1,0,0,0,0,everyone,0,1,Simulation,0,1,0.04,4.3,-0.3667629,0.390975656,-0.143395366
1,1,0,0,0,everyone,0,0,Puzzle,0,1,2.28,4.2,0.489024603,0.117151715,0.057290071
1,1,0,0,0,everyone,0,0,Puzzle,0,0,0.2,3.9,-0.305635221,-0.70432011,0.215265033
1,1,0,0,0,everyone,0,0,Racing,0,1,4.98,4.3,1.520554183,0.390975656,0.594499669
1,1,0,0,0,12+,0,0,Action,0,0,1.18,3.9,0.068771811,-0.70432011,-0.04843737
1,1,0,0,0,7+,0,0,Racing,0,1,0.45,4.2,-0.210123223,0.117151715,-0.024616296
1,1,0,0,0,7+,0,0,Word,0,0,6.43,3.7,2.074523773,-1.251967993,-2.597237363
1,1,0,0,0,everyone,0,0,Puzzle,0,0,1.1,4.5,0.038207972,0.938623539,0.035862902
1,0,0,0,0,everyone,0,0,Puzzle,0,1,6.16,4.6,1.971370815,1.21244748,2.390183577
1,1,0,0,0,everyone,0,0,Puzzle,0,1,1.08,3.5,0.030567012,-1.799615875,-0.05500888
